GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
115908	6.48e-26	1.92e-28	0.3017	11.062056	3.3370379	997.33	CTHRC1	collagen triple helix repeat containing 1
3899	8.05e-26	2.42e-28	0.1641	-11.041226	-1.8119862	849.98	AFF3	ALF transcription elongation factor 3
4322	8.29e-26	2.56e-28	0.5082	11.035917	5.6085647	219.95	MMP13	matrix metallopeptidase 13
3868	8.29e-26	2.57e-28	0.544	11.035822	6.0040305	73.76	KRT16	keratin 16
84985	1.07e-25	3.35e-28	0.383	11.011748	4.2179331	159.86	FAM83A	family with sequence similarity 83 member A
726	1.38e-25	4.39e-28	0.1421	10.987501	1.5616214	538.75	CAPN5	calpain 5
857	1.84e-25	6.02e-28	0.1538	-10.958917	-1.6859933	27076.31	CAV1	caveolin 1
3479	1.84e-25	5.95e-28	0.26	10.959949	2.8496698	2406.62	IGF1	insulin like growth factor 1
147463	2.32e-25	7.70e-28	0.1962	-10.936587	-2.1458938	2042.74	ANKRD29	ankyrin repeat domain 29
154	2.38e-25	8.04e-28	0.1332	-10.932765	-1.4564647	889.84	ADRB2	adrenoceptor beta 2
346689	3.08e-25	1.05e-27	0.2424	-10.908076	-2.6441514	89	KLRG2	killer cell lectin like receptor G2
2762	3.27e-25	1.13e-27	0.1025	10.901661	1.1176479	402.68	GMDS	GDP-mannose 4,6-dehydratase
142683	3.78e-25	1.33e-27	0.4188	-10.887056	-4.5595903	444.01	ITLN2	intelectin 2
1306	4.95e-25	1.76e-27	0.239	10.861318	2.5960077	2913.74	COL15A1	collagen type XV alpha 1 chain
3861	7.27e-25	2.62e-27	0.6793	10.824992	7.3537501	210.93	KRT14	keratin 14
4862	8.78e-25	3.20e-27	0.1573	10.806595	1.7000985	551.78	NPAS2	neuronal PAS domain protein 2
338328	9.85e-25	3.64e-27	0.2461	-10.794833	-2.656302	1578.83	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
387104	1.02e-24	3.83e-27	0.1936	-10.79019	-2.0887533	801.09	SOGA3	SOGA family member 3
9729	1.30e-24	4.91e-27	0.1967	-10.767285	-2.1183533	706.19	KIAA0408	KIAA0408
57213	1.73e-24	6.63e-27	0.1083	-10.739631	-1.1634858	825.39	SPRYD7	SPRY domain containing 7
1290	1.75e-24	6.79e-27	0.2254	10.737374	2.4200848	7935.52	COL5A2	collagen type V alpha 2 chain
107987361	2.21e-24	8.68e-27	0.2493	-10.71473	-2.6714104	53.79	LOC107987361	replaced by ID 105379426
94081	2.40e-24	9.65e-27	0.0626	10.704949	0.6704879	754.82	SFXN1	sideroflexin 1
285758	2.40e-24	9.59e-27	0.26	-10.705523	-2.7839484	149.63	MROCKI	MARCKS cis regulating lncRNA promoter of cytokines and inflammation
3853	2.59e-24	1.05e-26	0.6764	10.696828	7.2352738	890.73	KRT6A	keratin 6A
347694	2.98e-24	1.23e-26	0.2587	-10.682096	-2.7630511	154.13	ECEL1P2	endothelin converting enzyme like 1 pseudogene 2
388531	2.98e-24	1.24e-26	0.2516	-10.681727	-2.687949	22.72	RGS9BP	regulator of G protein signaling 9 binding protein
84978	3.16e-24	1.33e-26	0.2448	10.675391	2.613636	64.87	FRMD5	FERM domain containing 5
56704	3.59e-24	1.53e-26	0.1342	-10.662375	-1.4310353	409.89	JPH1	junctophilin 1
22979	3.92e-24	1.68e-26	0.1681	-10.653216	-1.7909005	304.24	EFR3B	EFR3 homolog B
29968	6.75e-24	2.93e-26	0.2728	10.601575	2.8921048	282.29	PSAT1	phosphoserine aminotransferase 1
64168	6.98e-24	3.10e-26	0.1436	-10.596446	-1.521732	512.76	NECAB1	N-terminal EF-hand calcium binding protein 1
2256	6.98e-24	3.09e-26	0.1854	10.59662	1.9650251	65.32	FGF11	fibroblast growth factor 11
9413	9.07e-24	4.07e-26	0.1996	-10.570881	-2.1103973	1207.93	ENTREP1	endosomal transmembrane epsin interactor 1
219790	1.02e-23	4.60e-26	0.3897	-10.559257	-4.1152587	6452.27	RTKN2	rhotekin 2
105376453	1.02e-23	4.67e-26	0.2525	-10.557996	-2.6663788	47.54	C10orf67-AS1	C10orf67 antisense RNA 1
5104	1.07e-23	4.96e-26	0.3045	10.552278	3.2136293	60.59	SERPINA5	serpin family A member 5
400568	1.26e-23	5.90e-26	0.2337	-10.53597	-2.4618112	57.45	LINC01996	long intergenic non-protein coding RNA 1996
5871	1.56e-23	7.36e-26	0.1153	-10.515101	-1.2123809	1124.88	MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2
3598	1.80e-23	8.57e-26	0.3628	10.500766	3.8099135	255.49	IL13RA2	interleukin 13 receptor subunit alpha 2
5525	1.90e-23	9.14e-26	0.072	-10.49471	-0.7558099	3676.35	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha
3149	2.07e-23	1.00e-25	0.1626	10.485744	1.7048783	1443.82	HMGB3	high mobility group box 3
5031	2.29e-23	1.12e-25	0.1796	10.475195	1.8810584	131.45	P2RY6	pyrimidinergic receptor P2Y6
2196	2.52e-23	1.25e-25	0.3456	10.465403	3.6167833	298.24	FAT2	FAT atypical cadherin 2
257000	2.84e-23	1.42e-25	0.2185	-10.453203	-2.2841243	135.23	TINCR	TINCR ubiquitin domain containing
6318	2.97e-23	1.50e-25	0.6101	10.448026	6.374386	96.58	SERPINB4	serpin family B member 4
3078	3.09e-23	1.58e-25	0.1529	10.442636	1.5967485	398.43	CFHR1	complement factor H related 1
7058	3.09e-23	1.57e-25	0.2763	10.443446	2.8858744	3776.02	THBS2	thrombospondin 2
1311	3.09e-23	1.60e-25	0.422	10.441765	4.4060837	993.72	COMP	cartilage oligomeric matrix protein
5122	3.65e-23	1.92e-25	0.3443	10.424388	3.5888271	84.79	PCSK1	proprotein convertase subtilisin/kexin type 1
27242	3.65e-23	1.92e-25	0.1299	10.424139	1.3536741	2133.15	TNFRSF21	TNF receptor superfamily member 21
7134	4.45e-23	2.37e-25	0.2271	-10.404407	-2.3632353	1061.51	TNNC1	troponin C1, slow skeletal and cardiac type
83648	5.31e-23	2.84e-25	0.2008	-10.386888	-2.0861214	619.34	FAM167A	family with sequence similarity 167 member A
202559	5.93e-23	3.21e-25	0.2135	-10.375424	-2.2155211	371.64	KHDRBS2	KH RNA binding domain containing, signal transduction associated 2
745	1.25e-22	6.79e-25	0.2567	-10.303493	-2.6444379	1452.81	MYRF	myelin regulatory factor
177	1.33e-22	7.30e-25	0.2998	-10.296592	-3.0867589	22073.5	AGER	advanced glycosylation end-product specific receptor
26872	1.81e-22	1.01e-24	0.253	10.265743	2.5970202	563	STEAP1	STEAP family member 1
283208	1.81e-22	1.01e-24	0.2997	10.264988	3.0763067	213.54	P4HA3	prolyl 4-hydroxylase subunit alpha 3
6712	1.92e-22	1.08e-24	0.1912	10.258684	1.9615954	691.08	SPTBN2	spectrin beta, non-erythrocytic 2
1277	1.98e-22	1.12e-24	0.3561	10.254963	3.6519918	37200.2	COL1A1	collagen type I alpha 1 chain
8706	2.21e-22	1.27e-24	0.1394	-10.243358	-1.4279134	1076.12	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)
150696	2.22e-22	1.28e-24	0.2399	10.242092	2.4568796	808.9	PROM2	prominin 2
107987401	2.28e-22	1.32e-24	0.2362	-10.239077	-2.4180502	126.44	LOC107987401	uncharacterized LOC107987401
54575	2.51e-22	1.47e-24	0.401	10.228779	4.1020764	36.91	UGT1A10	UDP glucuronosyltransferase family 1 member A10
286205	2.63e-22	1.56e-24	0.1222	-10.22349	-1.2492902	979.66	SCAI	suppressor of cancer cell invasion
102466658	2.65e-22	1.58e-24	0.3591	10.22217	3.6706121	69.31	MIR6510	microRNA 6510
8038	2.79e-22	1.68e-24	0.3076	10.216211	3.1420088	557.27	ADAM12	ADAM metallopeptidase domain 12
105375785	2.80e-22	1.70e-24	0.1577	-10.215123	-1.6113807	613.23	LOC105375785	uncharacterized LOC105375785
9875	2.86e-22	1.75e-24	0.1275	10.2123	1.302103	1227.21	URB1	URB1 ribosome biogenesis homolog
3866	3.93e-22	2.41e-24	0.3316	10.180841	3.3754947	1253.5	KRT15	keratin 15
102723507	5.76e-22	3.56e-24	0.2187	-10.142892	-2.2179051	145.07	LOC102723507	
27151	6.02e-22	3.75e-24	0.136	-10.137854	-1.3787595	1852.65	CPAMD8	C3 and PZP like alpha-2-macroglobulin domain containing 8
102723641	6.37e-22	4.00e-24	0.2092	-10.131508	-2.1190059	32.09	HID1-AS1	HID1 antisense RNA 1
101059949	7.59e-22	4.80e-24	0.2493	-10.113677	-2.5218138	36.53	LOC101059949	replaced by ID 105379426
2687	7.86e-22	5.01e-24	0.1753	10.109527	1.7722362	914.15	GGT5	gamma-glutamyltransferase 5
6696	1.07e-21	6.89e-24	0.4601	10.078342	4.6372977	3432.27	SPP1	secreted phosphoprotein 1
56246	1.30e-21	8.44e-24	0.1186	10.058329	1.1924853	80	MRAP	melanocortin 2 receptor accessory protein
112268166	1.40e-21	9.14e-24	0.1039	-10.050478	-1.0446513	310.79	LOC112268166	
153579	1.41e-21	9.25e-24	0.2937	-10.049351	-2.9519193	4138.12	BTNL9	butyrophilin like 9
10418	1.70e-21	1.12e-23	0.1635	10.030266	1.6403267	4971.6	SPON1	spondin 1
105373180	1.81e-21	1.21e-23	0.2812	-10.023058	-2.8182752	26.75	LOC105373180	uncharacterized LOC105373180
64220	1.89e-21	1.27e-23	0.3547	10.018347	3.5535458	95.57	STRA6	signaling receptor and transporter of retinol STRA6
54657	1.94e-21	1.32e-23	0.4177	10.014546	4.1829148	37.44	UGT1A4	UDP glucuronosyltransferase family 1 member A4
7373	1.94e-21	1.32e-23	0.2538	10.01444	2.5416508	8181.07	COL14A1	collagen type XIV alpha 1 chain
9601	2.14e-21	1.47e-23	0.1093	10.003335	1.0937375	4519.9	PDIA4	protein disulfide isomerase family A member 4
9071	2.14e-21	1.46e-23	0.2545	10.003933	2.5456662	119.13	CLDN10	claudin 10
1104	2.32e-21	1.61e-23	0.1014	9.994788	1.0134544	809.48	RCC1	regulator of chromosome condensation 1
8991	2.42e-21	1.69e-23	0.1276	-9.989932	-1.2747912	6138.96	SELENBP1	selenium binding protein 1
91133	2.54e-21	1.78e-23	0.0798	-9.984374	-0.796876	341.61	L3MBTL4	L3MBTL histone methyl-lysine binding protein 4
100500837	2.63e-21	1.86e-23	0.3799	9.980109	3.7916382	774.77	MIR3606	microRNA 3606
53836	2.83e-21	2.01e-23	0.4243	9.9724	4.2312995	160.99	GPR87	G protein-coupled receptor 87
169044	2.95e-21	2.11e-23	0.2071	9.967627	2.0643534	45.59	COL22A1	collagen type XXII alpha 1 chain
54579	3.16e-21	2.28e-23	0.4157	9.959979	4.1407302	37.28	UGT1A5	UDP glucuronosyltransferase family 1 member A5
256329	3.27e-21	2.37e-23	0.1763	-9.956156	-1.755071	386.62	LMNTD2	lamin tail domain containing 2
54600	3.44e-21	2.53e-23	0.4183	9.949786	4.1615974	36.46	UGT1A9	UDP glucuronosyltransferase family 1 member A9
54577	3.44e-21	2.53e-23	0.4183	9.949786	4.1615974	36.46	UGT1A7	UDP glucuronosyltransferase family 1 member A7
84451	3.90e-21	2.89e-23	0.1418	-9.93659	-1.408684	313.09	MAP3K21	mitogen-activated protein kinase kinase kinase 21
2596	4.92e-21	3.66e-23	0.3178	9.912868	3.1498202	15.83	GAP43	growth associated protein 43
5818	5.01e-21	3.75e-23	0.1577	9.910463	1.5633292	725.07	NECTIN1	nectin cell adhesion molecule 1
54576	5.09e-21	3.84e-23	0.419	9.90814	4.1511869	36.6	UGT1A8	UDP glucuronosyltransferase family 1 member A8
493869	5.20e-21	3.94e-23	0.1654	9.90554	1.6381969	1013.98	GPX8	glutathione peroxidase 8 (putative)
716	5.97e-21	4.55e-23	0.1532	9.891131	1.5150756	16854.21	C1S	complement C1s
400950	5.99e-21	4.59e-23	0.3112	-9.890175	-3.0782979	51.4	LINC02898	long intergenic non-protein coding RNA 2898
84627	6.11e-21	4.71e-23	0.1939	9.887546	1.9175489	376.71	ZNF469	zinc finger protein 469
4885	6.67e-21	5.18e-23	0.3086	9.878091	3.047955	96.18	NPTX2	neuronal pentraxin 2
646324	6.68e-21	5.22e-23	0.1817	-9.877336	-1.7943252	130.07	LINC00607	long intergenic non-protein coding RNA 607
10316	7.28e-21	5.72e-23	0.2382	-9.868248	-2.3506602	195.8	NMUR1	neuromedin U receptor 1
8994	7.35e-21	5.81e-23	0.0819	-9.866639	-0.8077968	3156.35	LIMD1	LIM domain containing 1
56938	7.90e-21	6.28e-23	0.1923	9.858755	1.8954584	554.54	BMAL2	basic helix-loop-helix ARNT like 2
54658	9.31e-21	7.44e-23	0.419	9.841757	4.1240058	37.07	UGT1A1	UDP glucuronosyltransferase family 1 member A1
1293	1.01e-20	8.10e-23	0.2298	9.833192	2.2600928	28950.43	COL6A3	collagen type VI alpha 3 chain
147920	1.27e-20	1.03e-22	0.3031	9.809084	2.9726554	47.13	IGFL2	IGF like family member 2
11086	1.31e-20	1.07e-22	0.4224	-9.80552	-4.1414856	29.22	ADAM29	ADAM metallopeptidase domain 29
101929340	1.49e-20	1.22e-22	0.1528	-9.792263	-1.4962488	85.82	ESAM-AS1	ESAM antisense RNA 1
400120	1.51e-20	1.24e-22	0.4337	-9.790113	-4.2464431	213.42	SERTM1	serine rich and transmembrane domain containing 1
55076	1.56e-20	1.29e-22	0.2253	9.785969	2.2044079	1480.37	TMEM45A	transmembrane protein 45A
7162	1.72e-20	1.43e-22	0.1231	9.775873	1.2032284	617.48	TPBG	trophoblast glycoprotein
54659	2.02e-20	1.70e-22	0.4207	9.758439	4.1056358	37.7	UGT1A3	UDP glucuronosyltransferase family 1 member A3
57536	2.02e-20	1.70e-22	0.0771	-9.758394	-0.7522891	432.74	KIAA1328	KIAA1328
105376074	2.03e-20	1.72e-22	0.2908	-9.757271	-2.8376408	200.82	LOC105376074	
101928988	2.20e-20	1.87e-22	0.1916	-9.748493	-1.8682106	74.29	LOC101928988	uncharacterized LOC101928988
56998	2.34e-20	2.01e-22	0.0882	-9.741464	-0.8589571	1246.96	CTNNBIP1	catenin beta interacting protein 1
112268121	2.34e-20	2.01e-22	0.1423	-9.741398	-1.3859309	83.78	LOC112268121	
3075	2.52e-20	2.18e-22	0.1758	9.733085	1.7112622	10852.08	CFH	complement factor H
100507632	2.56e-20	2.22e-22	0.2212	-9.731095	-2.1529675	248.27	LINC00968	long intergenic non-protein coding RNA 968
105373791	2.74e-20	2.39e-22	0.3776	9.723624	3.6721073	833.09	LOC105373791	uncharacterized LOC105373791
100128893	3.16e-20	2.78e-22	0.1722	-9.708403	-1.6713017	140.82	GATA6-AS1	GATA6 antisense RNA 1 (head to head)
3503	3.53e-20	3.11e-22	0.5297	9.696692	5.1363007	41412.82	IGHG4	immunoglobulin heavy constant gamma 4 (G4m marker)
83888	3.58e-20	3.18e-22	0.3125	-9.69466	-3.0299334	170.65	FGFBP2	fibroblast growth factor binding protein 2
284080	3.81e-20	3.40e-22	0.1629	-9.687781	-1.5777802	79.79	PICART1	p53 inducible cancer associated RNA transcript 1
200010	3.94e-20	3.53e-22	0.2607	-9.683852	-2.5246474	411.74	SLC5A9	solute carrier family 5 member 9
140862	5.33e-20	4.80e-22	0.1925	9.65239	1.8578364	526.75	ISM1	isthmin 1
112937	5.62e-20	5.09e-22	0.3415	9.646442	3.2945654	77.93	GLB1L3	galactosidase beta 1 like 3
132014	5.92e-20	5.40e-22	0.1291	-9.640271	-1.244766	642.34	IL17RE	interleukin 17 receptor E
858	5.92e-20	5.41e-22	0.1507	-9.640105	-1.4524745	8317.95	CAV2	caveolin 2
1382	5.93e-20	5.45e-22	0.264	9.639439	2.544833	217.85	CRABP2	cellular retinoic acid binding protein 2
105373869	5.96e-20	5.51e-22	0.3044	9.638307	2.9336414	82.8	LINC01614	long intergenic non-protein coding RNA 1614
4052	6.11e-20	5.67e-22	0.1692	9.635272	1.6307448	5556.77	LTBP1	latent transforming growth factor beta binding protein 1
84886	6.56e-20	6.12e-22	0.1212	-9.627487	-1.1664756	4318.02	C1orf198	chromosome 1 open reading frame 198
79750	6.60e-20	6.19e-22	0.2525	9.62632	2.4310367	356.77	ZNF385D	zinc finger protein 385D
8483	6.90e-20	6.50e-22	0.2785	9.621264	2.6799992	395.74	CILP	cartilage intermediate layer protein
5320	7.78e-20	7.40e-22	0.3937	9.607949	3.7826107	681.88	PLA2G2A	phospholipase A2 group IIA
33	7.78e-20	7.41e-22	0.2022	-9.607861	-1.942806	875.24	ACADL	acyl-CoA dehydrogenase long chain
6274	8.13e-20	7.77e-22	0.2548	-9.602869	-2.4467589	190.63	S100A3	S100 calcium binding protein A3
1289	8.24e-20	7.95e-22	0.2388	9.600521	2.2929748	7472	COL5A1	collagen type V alpha 1 chain
643650	8.24e-20	7.96e-22	0.1603	-9.600414	-1.5386367	55.69	LINC00842	long intergenic non-protein coding RNA 842
5645	8.56e-20	8.31e-22	0.6588	9.59601	6.3215211	126.43	PRSS2	serine protease 2
6799	9.56e-20	9.32e-22	0.1735	-9.58413	-1.6630504	305.92	SULT1A2	sulfotransferase family 1A member 2
101929494	1.17e-19	1.14e-21	0.244	-9.563127	-2.3337539	61.23	LOC101929494	uncharacterized LOC101929494
107984877	1.18e-19	1.16e-21	0.3255	-9.561326	-3.1120173	193.7	LOC107984877	uncharacterized LOC107984877
259236	1.27e-19	1.26e-21	0.1844	-9.553048	-1.7619652	44.8	TMIE	transmembrane inner ear
2200	1.40e-19	1.39e-21	0.1985	9.542652	1.8945396	6740.25	FBN1	fibrillin 1
27075	1.46e-19	1.46e-21	0.1249	-9.537953	-1.1912367	7113.69	TSPAN13	tetraspanin 13
140766	1.73e-19	1.73e-21	0.2946	9.520022	2.8043088	302.9	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14
53842	1.78e-19	1.79e-21	0.2081	-9.516667	-1.9805878	289.69	CLDN22	claudin 22
79783	1.81e-19	1.83e-21	0.1899	9.514011	1.8068894	69.84	SUGCT	succinyl-CoA:glutarate-CoA transferase
3487	1.88e-19	1.92e-21	0.1516	9.509516	1.4417763	23503.12	IGFBP4	insulin like growth factor binding protein 4
100506742	1.92e-19	1.96e-21	0.2374	-9.507279	-2.257363	72.02	CASP12	caspase 12 (gene/pseudogene)
2890	2.09e-19	2.14e-21	0.27	-9.498033	-2.5645884	714.55	GRIA1	glutamate ionotropic receptor AMPA type subunit 1
285759	2.55e-19	2.62e-21	0.3479	-9.476734	-3.2967017	44.08	LINC02880	long intergenic non-protein coding RNA 2880
106144584	2.71e-19	2.80e-21	0.2651	-9.469886	-2.5106362	54.53	LINC01290	long intergenic non-protein coding RNA 1290
10497	2.76e-19	2.86e-21	0.1038	-9.467551	-0.9828876	5406.17	UNC13B	unc-13 homolog B
692247	2.90e-19	3.03e-21	0.2486	-9.461859	-2.3526577	94.46	LMNTD2-AS1	LMNTD2 antisense RNA 1
1501	3.14e-19	3.29e-21	0.2768	-9.453095	-2.6167347	66.43	CTNND2	catenin delta 2
90161	3.32e-19	3.50e-21	0.2667	9.446552	2.5194664	235.29	HS6ST2	heparan sulfate 6-O-sulfotransferase 2
9351	3.77e-19	3.99e-21	0.1565	-9.432892	-1.4760862	3942.47	NHERF2	NHERF family PDZ scaffold protein 2
653499	4.13e-19	4.39e-21	0.4972	9.422776	4.6847149	80.06	LGALS7B	galectin 7B
220213	5.12e-19	5.47e-21	0.1408	-9.399793	-1.3239529	1710.28	OTUD1	OTU deubiquitinase 1
3483	5.18e-19	5.55e-21	0.1731	-9.398249	-1.6266355	47.23	IGFALS	insulin like growth factor binding protein acid labile subunit
4855	5.36e-19	5.77e-21	0.1578	-9.394169	-1.4822039	2685.38	NOTCH4	notch receptor 4
219995	5.47e-19	5.91e-21	0.2643	-9.391519	-2.482545	901.67	MS4A15	membrane spanning 4-domains A15
7070	6.57e-19	7.17e-21	0.3132	9.371247	2.9354032	3478.01	THY1	Thy-1 cell surface antigen
142684	6.57e-19	7.15e-21	0.2182	-9.371463	-2.0448969	51.64	RAB40A	RAB40A, member RAS oncogene family
3241	7.84e-19	8.63e-21	0.1313	-9.35168	-1.2278534	2148.7	HPCAL1	hippocalcin like 1
54578	7.84e-19	8.62e-21	0.4402	9.351744	4.1166704	102.03	UGT1A6	UDP glucuronosyltransferase family 1 member A6
