ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
225433_at	6.86e-05	1.18e-07	6.85168	7.655525	1.0839448	GTF2A1	general transcription factor IIA subunit 1
236291_at	6.97e-05	1.25e-07	-6.831913	7.6039804	-2.0099405	RDH5	retinol dehydrogenase 5
237515_at	6.97e-05	1.26e-07	6.827684	7.592946	1.454774	TMEM56	transmembrane protein 56
228613_at	7.14e-05	1.32e-07	6.810279	7.5475175	1.8812588	RAB11FIP3	RAB11 family interacting protein 3
224254_x_at	7.60e-05	1.48e-07	-6.77089	7.4445852	-2.0188057		
224743_at	7.60e-05	1.48e-07	6.770789	7.4443215	0.8983314	IMPAD1	inositol monophosphatase domain containing 1
236148_at	7.99e-05	1.59e-07	6.744727	7.3761258	2.0222003		
238173_at	8.26e-05	1.71e-07	-6.718992	7.3087112	-1.8695402	TCEA2	transcription elongation factor A2
233605_x_at	8.26e-05	1.73e-07	-6.714744	7.2975775	-1.7983553	HNRNPM	heterogeneous nuclear ribonucleoprotein M
200025_s_at	8.26e-05	1.75e-07	-6.709532	7.2839147	-1.1142334	RPL27	ribosomal protein L27
227318_at	9.50e-05	2.06e-07	6.651777	7.132317	1.1294137	TMEM178B	transmembrane protein 178B
222831_at	9.58e-05	2.11e-07	-6.641474	7.1052367	-1.8489776	SAP30L	SAP30 like
225972_at	1.10e-04	2.49e-07	6.583467	6.9525737	1.2515688	TMEM64	transmembrane protein 64
231655_x_at	1.11e-04	2.55e-07	6.574464	6.9288492	4.6351837	SERPINB6	serpin family B member 6
200094_s_at	1.18e-04	2.77e-07	-6.545194	6.851666	-1.0228814	EEF2	eukaryotic translation elongation factor 2
229800_at	1.19e-04	2.85e-07	6.534657	6.8238575	2.9112524	DCLK1	doublecortin like kinase 1
223235_s_at	1.22e-04	2.97e-07	6.519001	6.7825235	1.1377078	SMOC2	SPARC related modular calcium binding 2
200077_s_at	1.22e-04	3.02e-07	-6.513481	6.7679429	-0.7998469	OAZ1	ornithine decarboxylase antizyme 1
227719_at	1.23e-04	3.11e-07	6.503322	6.741104	2.1116673	SMAD9	SMAD family member 9
226003_at	1.35e-04	3.45e-07	6.4654	6.6408302	1.1380138	KIF21A	kinesin family member 21A
228236_at	1.60e-04	4.27e-07	-6.389515	6.4397739	-1.3226713	SLC52A3	solute carrier family 52 member 3
235828_at	1.60e-04	4.29e-07	-6.388346	6.4366711	-1.0690853	PRELID2	PRELI domain containing 2
228746_s_at	1.60e-04	4.33e-07	6.384475	6.4264021	0.8099978		
226533_at	1.60e-04	4.38e-07	-6.380395	6.4155747	-1.5694803	HINT3	histidine triad nucleotide binding protein 3
227104_x_at	1.60e-04	4.45e-07	-6.375251	6.4019243	-1.8242915	ZNF800	zinc finger protein 800
231994_at	1.72e-04	4.86e-07	-6.343769	6.3183219	-1.638467	CHDH	choline dehydrogenase
AFFX-r2-P1-cre-3_at	1.74e-04	4.99e-07	-6.334452	6.293563	-1.6895238		
223112_s_at	1.80e-04	5.28e-07	-6.314314	6.2400247	-1.3131463	NDUFB10	NADH:ubiquinone oxidoreductase subunit B10
224344_at	1.80e-04	5.37e-07	6.308278	6.2239716	2.5190806	COX6A1	cytochrome c oxidase subunit 6A1
232323_s_at	1.80e-04	5.39e-07	-6.306545	6.2193623	-0.7717349	TTC17	tetratricopeptide repeat domain 17
238879_at	1.89e-04	5.75e-07	6.283706	6.1585885	1.2537362	DCUN1D1	defective in cullin neddylation 1 domain containing 1
238704_at	1.89e-04	5.85e-07	6.277487	6.142031	1.8547896		
225525_at	2.04e-04	6.39e-07	6.246176	6.0586265	1.0959666	KIAA1671	KIAA1671
238202_at	2.07e-04	6.60e-07	-6.234873	6.0284992	-2.1016646		
229544_at	2.12e-04	6.83e-07	6.22261	5.9958006	0.663119		
244623_at	2.13e-04	6.98e-07	6.214903	5.9752441	1.9560156	KCNQ5	potassium voltage-gated channel subfamily Q member 5
232907_at	2.21e-04	7.32e-07	-6.197852	5.9297484	-1.3092287	UBR4	ubiquitin protein ligase E3 component n-recognin 4
242056_at	2.23e-04	7.50e-07	6.189377	5.9071271	0.926721	TRIM45	tripartite motif containing 45
231658_x_at	2.26e-04	7.69e-07	-6.18049	5.883402	-2.3431811	RPL36	ribosomal protein L36
238618_at	2.41e-04	8.30e-07	-6.153025	5.8100358	-1.2600593	NF2	neurofibromin 2
227531_at	2.47e-04	8.61e-07	6.140312	5.7760588	1.0226411	CLOCK	clock circadian regulator
227841_at	2.56e-04	9.12e-07	-6.119862	5.7213774	-0.8527052	CEMP1///AMDHD2	cementum protein 1///amidohydrolase domain containing 2
223390_at	2.56e-04	9.17e-07	-6.117821	5.7159181	-1.9820787	ARRDC1-AS1	ARRDC1 antisense RNA 1
231039_at	2.94e-04	1.07e-06	6.064675	5.5736621	0.892813	NAA30	N(alpha)-acetyltransferase 30, NatC catalytic subunit
241921_x_at	2.95e-04	1.09e-06	-6.057493	5.5544234	-1.2803796		
200095_x_at	2.95e-04	1.09e-06	-6.055812	5.5499183	-1.1203523	RPS10	ribosomal protein S10
243138_at	3.21e-04	1.20e-06	-6.021565	5.4581253	-1.5011174		
240235_at	3.52e-04	1.34e-06	-5.984944	5.3598868	-1.5045298	C10orf62	chromosome 10 open reading frame 62
244103_at	3.85e-04	1.48e-06	5.948936	5.2632071	0.9186719	SDE2	SDE2 telomere maintenance homolog
237646_x_at	3.99e-04	1.55e-06	-5.931981	5.2176558	-1.684031	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5
222667_s_at	4.24e-04	1.67e-06	-5.906795	5.149961	-1.0471172	ASH1L	ASH1 like histone lysine methyltransferase
228333_at	4.28e-04	1.70e-06	5.899834	5.131247	1.2012768	ZEB2	zinc finger E-box binding homeobox 2
225685_at	4.41e-04	1.77e-06	5.884743	5.0906626	1.9666686	CDC42EP3	CDC42 effector protein 3
226178_at	4.44e-04	1.81e-06	5.876892	5.0695424	0.8436281	SOCS4	suppressor of cytokine signaling 4
238818_at	4.44e-04	1.82e-06	5.875285	5.0652199	1.1608378	KIAA1429	KIAA1429
225123_at	4.44e-04	1.84e-06	5.871415	5.0548074	2.1088454	SESN3	sestrin 3
228723_at	4.87e-04	2.04e-06	-5.834568	4.9556355	-0.9379665	NPTN-IT1	NPTN intronic transcript 1
225421_at	5.38e-04	2.30e-06	5.792545	4.8424443	1.4223623	PM20D2	peptidase M20 domain containing 2
224179_s_at	5.38e-04	2.31e-06	-5.79149	4.8396028	-1.593599	MIOX	myo-inositol oxygenase
234271_at	5.38e-04	2.33e-06	-5.789109	4.8331852	-1.1449788	OTOP2	otopetrin 2
235349_at	5.46e-04	2.39e-06	5.780282	4.8093996	2.3084896	RMDN2	regulator of microtubule dynamics 2
229180_at	5.54e-04	2.45e-06	-5.771456	4.7856092	-2.1982108	WWC1	WW and C2 domain containing 1
239368_at	5.56e-04	2.48e-06	-5.766821	4.7731159	-1.4068691		
243603_at	5.66e-04	2.55e-06	-5.756665	4.7457332	-1.5634536		
200024_at	5.86e-04	2.66e-06	-5.74134	4.7044086	-0.9725821	RPS5	ribosomal protein S5
223989_s_at	5.87e-04	2.70e-06	-5.736551	4.6914923	-1.8393237	REXO2	RNA exonuclease 2
234695_x_at	5.87e-04	2.72e-06	-5.733587	4.6834985	-1.5557495	NUTM2B	NUT family member 2B
225885_at	5.91e-04	2.76e-06	5.728327	4.6693093	0.9804107	EEA1	early endosome antigen 1
226134_s_at	6.13e-04	2.92e-06	5.709069	4.6173547	1.0371512	MSI2	musashi RNA binding protein 2
240358_at	6.13e-04	2.92e-06	-5.708827	4.6167014	-1.2964562		
225292_at	6.25e-04	3.01e-06	-5.698813	4.5896768	-1.0140033	COL27A1	collagen type XXVII alpha 1 chain
227825_at	6.26e-04	3.07e-06	-5.691148	4.5689905	-0.7839967	NAIF1	nuclear apoptosis inducing factor 1
235313_at	6.26e-04	3.09e-06	-5.689383	4.5642276	-2.0247719	NRAP	nebulin related anchoring protein
227277_at	6.26e-04	3.09e-06	5.688664	4.5622853	1.0293038	MTDH	metadherin
242377_x_at	6.68e-04	3.33e-06	-5.662766	4.492371	-1.4204898	THUMPD3	THUMP domain containing 3
234156_at	6.77e-04	3.42e-06	-5.653091	4.4662448	-1.0385187		
241478_at	6.77e-04	3.44e-06	-5.651946	4.4631536	-1.7185702	MICALL2	MICAL like 2
225997_at	6.92e-04	3.55e-06	5.639959	4.4307799	1.2573721	MOB1B	MOB kinase activator 1B
223744_s_at	6.92e-04	3.57e-06	-5.638076	4.4256924	-1.317231	SIAE	sialic acid acetylesterase
234507_at	7.02e-04	3.67e-06	-5.629214	4.4017559	-1.7938281		
224852_at	7.02e-04	3.69e-06	-5.626844	4.3953523	-0.9922288	TTC17	tetratricopeptide repeat domain 17
243799_x_at	7.05e-04	3.73e-06	-5.622641	4.3839968	-2.5434564	ANGPTL3	angiopoietin like 3
242635_s_at	7.06e-04	3.82e-06	-5.614446	4.3618567	-1.4428754	NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D
230884_s_at	7.06e-04	3.84e-06	-5.612907	4.3576995	-0.8568596	LOC101930112///SPG7	uncharacterized LOC101930112///SPG7, paraplegin matrix AAA peptidase subunit
227373_at	7.06e-04	3.85e-06	5.61196	4.3551396	0.8898773	ATXN1L	ataxin 1 like
226168_at	7.06e-04	3.86e-06	5.610633	4.3515543	1.7952708	ZFAND2B	zinc finger AN1-type containing 2B
233938_at	7.23e-04	3.99e-06	-5.599463	4.3213707	-1.0541054	C11orf86	chromosome 11 open reading frame 86
227934_at	7.41e-04	4.12e-06	5.587847	4.28998	1.1067236	KPNA5	karyopherin subunit alpha 5
242644_at	7.91e-04	4.43e-06	-5.562288	4.2208906	-1.5979367	TMC8	transmembrane channel like 8
230112_at	8.02e-04	4.53e-06	5.554647	4.2002325	1.1957633	MARCH4	membrane associated ring-CH-type finger 4
233632_s_at	8.13e-04	4.65e-06	5.545732	4.1761263	1.1775323	XRN1	5'-3' exoribonuclease 1
238760_at	8.13e-04	4.67e-06	-5.544211	4.1720158	-1.3868497	YARS	tyrosyl-tRNA synthetase
238974_at	8.17e-04	4.73e-06	5.539978	4.1605695	1.055757	C2orf69	chromosome 2 open reading frame 69
233255_s_at	8.30e-04	4.90e-06	-5.527482	4.1267767	-0.766135	BIVM	basic, immunoglobulin-like variable motif containing
229705_at	8.30e-04	4.90e-06	5.527369	4.1264708	0.6934295	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3
224747_at	8.30e-04	4.91e-06	5.526598	4.1243862	1.1583288	UBE2Q2	ubiquitin conjugating enzyme E2 Q2
236003_x_at	8.37e-04	4.99e-06	-5.520779	4.1086469	-2.1462416		
236432_at	8.54e-04	5.13e-06	-5.511118	4.0825176	-0.8432634		
226097_at	8.57e-04	5.22e-06	-5.505068	4.0661527	-1.3157132	FNDC5	fibronectin type III domain containing 5
238105_x_at	8.57e-04	5.22e-06	-5.504856	4.065579	-1.6339271	WNT7B	Wnt family member 7B
227731_at	8.64e-04	5.30e-06	5.499568	4.051274	0.6702427	CNBP	CCHC-type zinc finger nucleic acid binding protein
226035_at	8.76e-04	5.41e-06	5.492354	4.0317606	1.1568257	USP31	ubiquitin specific peptidase 31
235529_x_at	8.80e-04	5.50e-06	-5.487068	4.0174581	-1.0225457	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1
236098_at	8.80e-04	5.55e-06	-5.48382	4.0086735	-1.8044587	SMIM6	small integral membrane protein 6
224813_at	8.80e-04	5.56e-06	5.483177	4.0069323	0.7133174	WASL	Wiskott-Aldrich syndrome like
225745_at	8.97e-04	5.72e-06	5.472738	3.9786896	0.7356673	LRP6	LDL receptor related protein 6
236313_at	8.97e-04	5.75e-06	5.471453	3.9752112	2.5281431	CDKN2B	cyclin dependent kinase inhibitor 2B
226260_x_at	9.01e-04	5.81e-06	-5.467515	3.9645563	-0.9528631	ZNF358	zinc finger protein 358
240945_at	9.08e-04	5.91e-06	-5.46128	3.9476867	-0.9386973		
225566_at	9.08e-04	5.98e-06	-5.457662	3.9378966	-1.5979627	NRP2	neuropilin 2
229164_s_at	9.08e-04	6.00e-06	-5.456481	3.9346989	-1.700054	ABTB1	ankyrin repeat and BTB domain containing 1
232802_at	9.08e-04	6.01e-06	-5.45557	3.9322349	-1.5580432	SYT8	synaptotagmin 8
222863_at	9.45e-04	6.30e-06	5.438941	3.8872343	0.8946969	ZBTB10	zinc finger and BTB domain containing 10
241237_at	9.54e-04	6.42e-06	-5.432575	3.8700058	-2.4088313		
229449_at	9.54e-04	6.45e-06	-5.431005	3.8657567	-1.91563		
225176_at	9.56e-04	6.50e-06	5.428153	3.8580379	1.0634168	LNPEP	leucyl and cystinyl aminopeptidase
222593_s_at	9.77e-04	6.69e-06	-5.41809	3.830802	-0.9263208	SPATS2	spermatogenesis associated serine rich 2
235798_at	1.01e-03	6.95e-06	5.404545	3.7941385	1.0604891	TMEM170B	transmembrane protein 170B
241997_at	1.02e-03	7.07e-06	-5.3985	3.7777756	-1.0679799		
227860_at	1.02e-03	7.12e-06	-5.396317	3.7718661	-1.8125261	CPXM1	carboxypeptidase X, M14 family member 1
239425_at	1.04e-03	7.34e-06	5.385791	3.7433724	2.0337464	DCUN1D5	defective in cullin neddylation 1 domain containing 5
228556_at	1.04e-03	7.35e-06	-5.38521	3.7417999	-2.0940112	YTHDC1	YTH domain containing 1
235596_at	1.08e-03	7.71e-06	-5.36829	3.6959945	-0.9092649		
238424_at	1.09e-03	7.79e-06	-5.364712	3.6863062	-1.3671328	ADAL	adenosine deaminase like
243929_at	1.13e-03	8.16e-06	5.348345	3.6419948	3.2434919		
226939_at	1.14e-03	8.27e-06	5.343777	3.629628	1.0673952	CPEB2	cytoplasmic polyadenylation element binding protein 2
235842_at	1.21e-03	8.79e-06	-5.322523	3.5720804	-1.7894266		
228045_at	1.23e-03	8.99e-06	5.314346	3.5499396	1.0024041	SUGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone
240562_at	1.27e-03	9.34e-06	-5.300951	3.5136713	-1.615173	GSK3B	glycogen synthase kinase 3 beta
222977_at	1.27e-03	9.39e-06	-5.299225	3.5089975	-0.6953222	SURF4	surfeit 4
239569_at	1.28e-03	9.57e-06	5.292626	3.4911295	1.5861954	FZD10-AS1	FZD10 antisense RNA 1 (head to head)
222396_at	1.28e-03	9.59e-06	5.29186	3.4890547	0.8833996	HN1	hematological and neurological expressed 1
229670_at	1.30e-03	9.83e-06	5.283269	3.4657912	1.0907273		
236175_at	1.30e-03	9.88e-06	5.281352	3.4606016	1.338436	TRIM55	tripartite motif containing 55
223626_x_at	1.30e-03	9.95e-06	-5.279017	3.4542785	-0.8525089	IFI27L2	interferon alpha inducible protein 27 like 2
223975_at	1.30e-03	1.00e-05	-5.27719	3.4493319	-1.2624785	TRIM51	tripartite motif-containing 51
226529_at	1.31e-03	1.01e-05	5.272941	3.4378268	0.9319101	TMEM106B	transmembrane protein 106B
243664_at	1.34e-03	1.04e-05	5.26322	3.4115038	1.1158874	TXNL1	thioredoxin like 1
243604_at	1.38e-03	1.08e-05	-5.250085	3.3759383	-0.9843264		
227852_at	1.42e-03	1.12e-05	-5.237728	3.3424771	-0.8214849	RP9	retinitis pigmentosa 9 (autosomal dominant)
229537_at	1.43e-03	1.13e-05	5.233383	3.3307124	1.300282	LMO4	LIM domain only 4
238326_at	1.43e-03	1.14e-05	-5.231734	3.3262492	-1.3925543	ODF3B	outer dense fiber of sperm tails 3B
228551_at	1.49e-03	1.20e-05	5.214298	3.2790376	0.7816087	DENND5B	DENN domain containing 5B
238110_at	1.49e-03	1.20e-05	-5.213543	3.276993	-1.2141543	PPP6R2	protein phosphatase 6 regulatory subunit 2
230851_x_at	1.50e-03	1.21e-05	-5.210692	3.2692732	-1.532102	METTL26	methyltransferase like 26
229340_at	1.50e-03	1.22e-05	-5.207031	3.2593609	-1.2582003	NKAPL	NFKB activating protein like
228831_s_at	1.50e-03	1.24e-05	-5.201872	3.2453943	-0.9133306	GNG7	G protein subunit gamma 7
228494_at	1.50e-03	1.24e-05	5.201802	3.2452037	0.8753017	PPP1R9A	protein phosphatase 1 regulatory subunit 9A
229605_at	1.50e-03	1.24e-05	-5.201431	3.2441988	-1.101925	CYB5RL	cytochrome b5 reductase like
222924_at	1.50e-03	1.24e-05	5.201375	3.2440483	0.9201535	SLMAP	sarcolemma associated protein
235544_x_at	1.59e-03	1.33e-05	-5.178158	3.1811912	-1.9845467	FAM171A2	family with sequence similarity 171 member A2
227721_at	1.62e-03	1.36e-05	-5.169674	3.158222	-0.8965885	CPAMD8	C3 and PZP like, alpha-2-macroglobulin domain containing 8
239752_at	1.62e-03	1.37e-05	5.167301	3.1517981	0.7620446	CECR2	CECR2, histone acetyl-lysine reader
241347_at	1.63e-03	1.38e-05	-5.163124	3.1404897	-1.9444889	RNF213	ring finger protein 213
230557_at	1.63e-03	1.40e-05	-5.15926	3.1300295	-1.9932031	XRRA1	X-ray radiation resistance associated 1
226714_at	1.63e-03	1.41e-05	-5.156821	3.1234277	-0.8544109	SAMD4B	sterile alpha motif domain containing 4B
226395_at	1.63e-03	1.41e-05	5.156173	3.1216737	0.9127597	HOOK3	hook microtubule tethering protein 3
228206_at	1.63e-03	1.41e-05	-5.156033	3.1212927	-1.0016926	HS3ST4	heparan sulfate-glucosamine 3-sulfotransferase 4
242245_at	1.63e-03	1.42e-05	5.154673	3.1176135	0.7091767		
231880_at	1.67e-03	1.46e-05	5.145514	3.0928204	0.8599152	STRIP2	striatin interacting protein 2
233190_at	1.74e-03	1.53e-05	-5.127416	3.0438315	-1.9564023	CASC18	cancer susceptibility candidate 18 (non-protein coding)
225113_at	1.76e-03	1.55e-05	5.123018	3.0319272	2.4586666	AGPS	alkylglycerone phosphate synthase
241691_at	1.79e-03	1.59e-05	-5.115529	3.0116591	-1.7811141	SCARF2	scavenger receptor class F member 2
234784_at	1.79e-03	1.60e-05	-5.113086	3.0050461	-1.2705115		
225974_at	1.83e-03	1.64e-05	5.104492	2.9817894	2.2925252	TMEM64	transmembrane protein 64
226764_at	1.83e-03	1.65e-05	-5.101387	2.9733866	-1.2069432	ZNF827	zinc finger protein 827
222806_s_at	1.84e-03	1.66e-05	-5.098649	2.9659764	-0.8208248	EMSY	EMSY, BRCA2 interacting transcriptional repressor
234638_at	1.85e-03	1.69e-05	5.092385	2.9490257	1.2518274		
244656_at	1.85e-03	1.70e-05	-5.090654	2.9443422	-1.8622769	RASL10B	RAS like family 10 member B
225216_at	1.85e-03	1.70e-05	5.09052	2.9439801	0.9146892	FAM199X	family with sequence similarity 199, X-linked
223460_at	1.87e-03	1.73e-05	-5.084696	2.928221	-0.5932983	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1
226922_at	1.87e-03	1.73e-05	5.084574	2.9278906	0.6397597	RANBP2	RAN binding protein 2
234866_s_at	1.90e-03	1.77e-05	-5.076403	2.9057808	-1.9277879	ZNRD1ASP	zinc ribbon domain containing 1 antisense, pseudogene
227568_at	1.90e-03	1.78e-05	5.076007	2.9047097	0.9797115	HECTD2	HECT domain E3 ubiquitin protein ligase 2
234687_x_at	1.92e-03	1.80e-05	-5.070581	2.8900284	-0.7952581	LIMD1	LIM domains containing 1
231057_at	1.93e-03	1.82e-05	-5.067509	2.8817189	-1.0185119		
242489_at	1.93e-03	1.84e-05	-5.064283	2.8729914	-1.0951445	LOC646778	uncharacterized LOC646778
229504_at	1.95e-03	1.86e-05	5.060008	2.8614241	0.8360007	RAB23	RAB23, member RAS oncogene family
232426_at	1.97e-03	1.89e-05	-5.054326	2.846054	-1.4047679	SV2B	synaptic vesicle glycoprotein 2B
227545_at	2.03e-03	1.97e-05	5.040226	2.8079123	0.8778438	BARD1	BRCA1 associated RING domain 1
224769_at	2.03e-03	1.97e-05	5.039775	2.8066928	0.9407816	TAOK1	TAO kinase 1
237734_s_at	2.03e-03	1.98e-05	-5.038707	2.8038045	-0.7530461	CCDC37-AS1	CCDC37 antisense RNA 1 (head to head)
232675_s_at	2.05e-03	2.00e-05	-5.034888	2.7934757	-0.9035131	UCKL1	uridine-cytidine kinase 1 like 1
227038_at	2.06e-03	2.02e-05	5.030625	2.7819465	1.5076514	SGMS2	sphingomyelin synthase 2
234927_s_at	2.07e-03	2.04e-05	-5.027121	2.7724698	-0.9925263	MAGIX	MAGI family member, X-linked
225431_x_at	2.14e-03	2.12e-05	5.013648	2.736034	1.4011191	PM20D2	peptidase M20 domain containing 2
225053_at	2.15e-03	2.13e-05	5.011896	2.7312981	0.6971165	CNOT7	CCR4-NOT transcription complex subunit 7
239633_at	2.19e-03	2.18e-05	-5.003358	2.7082105	-0.8897207		
237912_at	2.21e-03	2.23e-05	-4.996766	2.6903892	-1.8273148		
228147_at	2.21e-03	2.23e-05	-4.996173	2.6887866	-1.0839229	SEPT7P2	septin 7 pseudogene 2
230043_at	2.24e-03	2.27e-05	4.990609	2.6737438	1.5311959	MUC20	mucin 20, cell surface associated
225227_at	2.24e-03	2.28e-05	4.988573	2.668239	0.8991569	SKIL	SKI-like proto-oncogene
239743_at	2.24e-03	2.28e-05	-4.988308	2.6675244	-1.2926606	SP8	Sp8 transcription factor
238864_at	2.24e-03	2.30e-05	-4.985467	2.6598427	-1.1283135	VWA3A	von Willebrand factor A domain containing 3A
233893_s_at	2.26e-03	2.32e-05	4.981722	2.6497192	0.7291892	UVSSA	UV stimulated scaffold protein A
234646_at	2.26e-03	2.34e-05	-4.979516	2.6437587	-1.4236899		
231628_s_at	2.27e-03	2.37e-05	4.975263	2.6322611	3.8712888	SERPINB6	serpin family B member 6
236663_at	2.27e-03	2.37e-05	4.974464	2.6301014	0.8794242		
223595_at	2.27e-03	2.39e-05	4.972113	2.6237496	1.0671826	TMEM133	transmembrane protein 133
232851_at	2.27e-03	2.39e-05	-4.971446	2.621945	-2.1024276	FBXO3	F-box protein 3
231203_at	2.27e-03	2.40e-05	4.970759	2.6200898	1.5045908	LOC100505478	uncharacterized LOC100505478
222509_s_at	2.28e-03	2.41e-05	-4.968715	2.6145649	-1.2566622	ZNF672	zinc finger protein 672
224529_s_at	2.30e-03	2.45e-05	-4.963259	2.5998189	-1.0356507	NT5C1A	5'-nucleotidase, cytosolic IA
244397_at	2.36e-03	2.53e-05	-4.951435	2.5678686	-0.8258571		
222415_at	2.36e-03	2.54e-05	4.950774	2.566083	0.8059599	KMT2C	lysine methyltransferase 2C
