GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
126917	0.062	0.00060676	0.0636	-3.428576	-0.21806549	128.13	IFFO2	intermediate filament family orphan 2
10561	0.062	0.0005809	0.2649	3.440377	0.91133025	80.97	IFI44	interferon induced protein 44
9103	0.062	0.00055988	0.0812	3.4503393	0.28033768	283.87	FCGR2C	Fc gamma receptor IIc (gene/pseudogene)
5997	0.062	0.00055887	0.118	3.4508299	0.40710047	1554.35	RGS2	regulator of G protein signaling 2
65094	0.062	0.0006008	0.0865	-3.4312522	-0.29679735	54.78	JMJD4	jumonji domain containing 4
3553	0.062	0.00052962	0.0958	3.4653107	0.33197967	217.68	IL1B	interleukin 1 beta
54965	0.062	0.00061329	0.0894	3.4256674	0.3060986	83.46	PIGX	phosphatidylinositol glycan anchor biosynthesis class X
9586	0.062	0.00058375	0.1218	3.4390551	0.41890498	324.85	CREB5	cAMP responsive element binding protein 5
105378415	0.062	0.00053642	0.1188	3.4618758	0.41126314	311.46	LOC105378415	uncharacterized LOC105378415
283337	0.062	0.00062363	0.0527	-3.4211241	-0.18014134	575.12	ZNF740	zinc finger protein 740
5037	0.062	0.00050948	0.0628	-3.4757212	-0.21835254	249.07	PEBP1	phosphatidylethanolamine binding protein 1
10673	0.062	0.0005372	0.1164	3.4614889	0.40275396	155.65	TNFSF13B	TNF superfamily member 13b
26015	0.062	0.00062287	0.0687	-3.4214539	-0.23508719	106.4	RPAP1	RNA polymerase II associated protein 1
8554	0.062	0.00055852	0.0738	3.4509983	0.25482354	201.28	PIAS1	protein inhibitor of activated STAT 1
2124	0.062	0.00059733	0.0936	3.4328225	0.32133522	1913.59	EVI2B	ecotropic viral integration site 2B
199786	0.062	0.00052261	0.112	-3.4688921	-0.38859822	244.7	NIBAN3	niban apoptosis regulator 3
81887	0.062	0.00057289	0.0623	-3.4441354	-0.21450954	154.59	LAS1L	LAS1 like ribosome biogenesis factor
3064	0.0652	0.00066383	0.0474	-3.4040976	-0.16149127	339.7	HTT	huntingtin
80231	0.0676	0.00069593	0.0989	3.3911783	0.33529284	65.99	TASL	TLR adaptor interacting with endolysosomal SLC15A4
3065	0.0691	0.0007387	0.0336	-3.3747987	-0.11339943	529.13	HDAC1	histone deacetylase 1
1802	0.0691	0.00072617	0.0636	-3.3795044	-0.21478684	97.5	DPH2	diphthamide biosynthesis 2
29094	0.0691	0.00084501	0.1156	3.3376144	0.3857694	43.69	LGALSL	galectin like
84058	0.0691	0.00079057	0.0899	-3.3560756	-0.30181357	74.95	WDR54	WD repeat domain 54
9797	0.0691	0.0008709	0.0362	-3.3292189	-0.12041411	338.73	TATDN2	TatD DNase domain containing 2
79668	0.0691	0.00087213	0.0848	3.3288251	0.28220149	342.81	PARP8	poly(ADP-ribose) polymerase family member 8
7923	0.0691	0.00082361	0.1057	-3.344735	-0.35345564	47.35	HSD17B8	hydroxysteroid 17-beta dehydrogenase 8
9444	0.0691	0.00088156	0.1059	3.3258288	0.35218637	150.36	QKI	QKI, KH domain containing RNA binding
10135	0.0691	0.00084089	0.1293	3.3389718	0.43175369	2166.15	NAMPT	nicotinamide phosphoribosyltransferase
56623	0.0691	0.00083743	0.0753	-3.3401183	-0.25160967	68.13	INPP5E	inositol polyphosphate-5-phosphatase E
9748	0.0691	0.00085141	0.1176	3.3355177	0.39211838	83.65	SLK	STE20 like kinase
3695	0.0691	0.00079948	0.0727	-3.3529756	-0.24368154	592.73	ITGB7	integrin subunit beta 7
55784	0.0691	0.00077727	0.1078	3.3607632	0.36230279	214.11	MCTP2	multiple C2 and transmembrane domain containing 2
25894	0.0691	0.00079728	0.0973	-3.3537384	-0.32639835	44.04	PLEKHG4	pleckstrin homology and RhoGEF domain containing G4
123872	0.0691	0.00087352	0.0738	-3.3283829	-0.2457671	69.05	DNAAF1	dynein axonemal assembly factor 1
6416	0.0691	0.00083851	0.0949	3.3397585	0.31708438	98	MAP2K4	mitogen-activated protein kinase kinase 4
101929866	0.0691	0.00078716	0.132	3.3572716	0.44308822	235.29	LINC02597	long intergenic non-protein coding RNA 2597
6721	0.0691	0.00075037	0.0512	-3.3704802	-0.17273167	275.58	SREBF2	sterol regulatory element binding transcription factor 2
51311	0.0691	0.00078521	0.0964	3.3579555	0.32369426	322.05	TLR8	toll like receptor 8
2710	0.0691	0.00082671	0.1122	3.3436942	0.3753289	151.1	GK	glycerol kinase
90121	0.0691	0.00080477	0.0534	-3.3511497	-0.17882258	157.79	TSR2	TSR2 ribosome maturation factor
23344	0.0692	0.00089044	0.0606	-3.3230329	-0.20126114	1034.48	ESYT1	extended synaptotagmin 1
1376	0.07	0.00092603	0.0538	-3.312086	-0.17829196	72.57	CPT2	carnitine palmitoyltransferase 2
83666	0.07	0.00092395	0.0993	3.3127158	0.32906795	400.71	PARP9	poly(ADP-ribose) polymerase family member 9
994	0.07	0.00091268	0.0744	-3.3161465	-0.24673176	1056.72	CDC25B	cell division cycle 25B
2210	0.0717	0.00096358	0.1116	3.3009512	0.36829985	111.28	FCGR1BP	Fc gamma receptor Ib, pseudogene
142	0.0717	0.00097488	0.0601	-3.2976766	-0.19804485	373.26	PARP1	poly(ADP-ribose) polymerase 1
55350	0.0717	0.00099919	0.1073	3.2907537	0.35299715	225.29	VNN3P	vanin 3, pseudogene
54606	0.0717	0.00097668	0.0541	-3.2971584	-0.1783782	413.93	DDX56	DEAD-box helicase 56
4176	0.0717	0.00099333	0.0473	-3.2924084	-0.15587538	434.51	MCM7	minichromosome maintenance complex component 7
3433	0.0717	0.00099171	0.1675	3.2928684	0.55166885	381.57	IFIT2	interferon induced protein with tetratricopeptide repeats 2
2212	0.0718	0.00102294	0.089	3.2841397	0.29217013	3190.95	FCGR2A	Fc gamma receptor IIa
9111	0.0718	0.00102538	0.0907	3.2834684	0.29768521	213.05	NMI	N-myc and STAT interactor
10298	0.0718	0.00102021	0.082	-3.2848923	-0.26948424	46.83	PAK4	p21 (RAC1) activated kinase 4
11010	0.0718	0.00104255	0.075	3.2787854	0.24583854	448.54	GLIPR1	GLI pathogenesis related 1
100533483	0.0718	0.00103957	0.1253	3.2795916	0.41106392	86.64	DNAAF4-CCPG1	DNAAF4-CCPG1 readthrough (NMD candidate)
137835	0.074	0.00108228	0.0988	3.2682152	0.32305571	331.88	TMEM71	transmembrane protein 71
101927015	0.074	0.00109975	0.1488	3.2636818	0.48577372	67.18	LINC01506	long intergenic non-protein coding RNA 1506
366	0.074	0.00109294	0.1105	3.2654406	0.36070312	2472.47	AQP9	aquaporin 9
7100	0.0743	0.00120375	0.1001	3.2379889	0.32423058	90.58	TLR5	toll like receptor 5
91543	0.0743	0.00115737	0.3237	3.2491833	1.05176912	121.92	RSAD2	radical S-adenosyl methionine domain containing 2
11342	0.0743	0.00115413	0.1113	3.2499793	0.36176664	187.01	RNF13	ring finger protein 13
7095	0.0743	0.0012205	0.0981	3.2340461	0.31729455	154.14	SEC62	SEC62 homolog, preprotein translocation factor
57606	0.0743	0.00122572	0.0922	3.2328254	0.29807073	63.87	SLAIN2	SLAIN motif family member 2
8676	0.0743	0.00118891	0.0837	3.2415284	0.27135342	264.79	STX11	syntaxin 11
23643	0.0743	0.0012188	0.1098	3.2344428	0.35525967	103.12	LY96	lymphocyte antigen 96
80324	0.0743	0.00114751	0.0733	-3.251616	-0.23835968	106.44	PUS1	pseudouridine synthase 1
1856	0.0743	0.00119004	0.0539	-3.2412567	-0.17464191	130.75	DVL2	dishevelled segment polarity protein 2
3996	0.0743	0.00113741	0.0623	-3.2541269	-0.20279603	96.41	LLGL1	LLGL scribble cell polarity complex component 1
729683	0.0743	0.00117334	0.0767	-3.245283	-0.2487842	123.18	LOC729683	uncharacterized LOC729683
3759	0.0743	0.00121675	0.1296	3.2349241	0.41929957	99.59	KCNJ2	potassium inwardly rectifying channel subfamily J member 2
27352	0.0743	0.00118604	0.0647	-3.2422163	-0.20975864	564.49	SGSM3	small G protein signaling modulator 3
286530	0.0743	0.00114961	0.0472	-3.2510956	-0.15348115	506.2	P2RY8	P2Y receptor family member 8
116841	0.0745	0.00128101	0.0641	-3.2202009	-0.20648005	124.92	SNAP47	synaptosome associated protein 47
64771	0.0745	0.00123904	0.046	-3.2297372	-0.14864206	559.35	ILRUN	inflammation and lipid regulator with UBA-like and NBR1-like domains
8875	0.0745	0.00126924	0.1201	3.2228465	0.38695976	1916.47	VNN2	vanin 2
2776	0.0745	0.00128056	0.1152	3.2203014	0.37099728	168.17	GNAQ	G protein subunit alpha q
114769	0.0745	0.00126684	0.1224	3.2233874	0.39459656	167.5	CARD16	caspase recruitment domain family member 16
643	0.0745	0.00124834	0.0769	-3.2275984	-0.24819325	263.68	CXCR5	C-X-C motif chemokine receptor 5
51170	0.0753	0.00130757	0.0886	3.2143138	0.28484654	417.76	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11
3437	0.0753	0.00131383	0.1953	3.2129422	0.6276053	603.59	IFIT3	interferon induced protein with tetratricopeptide repeats 3
92558	0.0766	0.00134381	0.0903	-3.2064551	-0.28955287	102.27	BICDL1	BICD family like cargo adaptor 1
84532	0.0767	0.00135542	0.0475	-3.2039806	-0.15206149	343.93	ACSS1	acyl-CoA synthetase short chain family member 1
64422	0.0779	0.00141584	0.0727	3.1914022	0.23203257	196.3	ATG3	autophagy related 3
50615	0.0779	0.00142281	0.0801	-3.1899828	-0.25536071	128.08	IL21R	interleukin 21 receptor
4157	0.0779	0.00141513	0.111	-3.1915464	-0.35422835	49.39	MC1R	melanocortin 1 receptor
2204	0.0779	0.0014146	0.1127	3.1916549	0.35973759	160.06	FCAR	Fc alpha receptor
28825	0.0779	0.00139199	0.1787	-3.1963078	-0.57104897	66.92	IGLV1-40	immunoglobulin lambda variable 1-40
6515	0.0809	0.00148665	0.0888	3.1772775	0.2820504	1005.92	SLC2A3	solute carrier family 2 member 3
64135	0.0809	0.00152205	0.123	3.1704466	0.39010202	70.42	IFIH1	interferon induced with helicase C domain 1
6389	0.0809	0.00152453	0.05	-3.1699727	-0.15836432	329.6	SDHA	succinate dehydrogenase complex flavoprotein subunit A
90956	0.0809	0.00152352	0.0712	-3.1701666	-0.2258305	100.36	ADCK2	aarF domain containing kinase 2
51754	0.0809	0.00149675	0.0742	-3.1753132	-0.23571032	56.35	TMEM8B	transmembrane protein 8B
55656	0.0812	0.00154013	0.0832	3.1670146	0.26337261	94.91	INTS8	integrator complex subunit 8
10788	0.0813	0.00155154	0.107	3.1648674	0.33859317	125.17	IQGAP2	IQ motif containing GTPase activating protein 2
129607	0.0816	0.00157892	0.2497	3.159773	0.78888449	44.28	CMPK2	cytidine/uridine monophosphate kinase 2
26234	0.0816	0.00157195	0.0915	3.1610618	0.28925248	670.03	FBXL5	F-box and leucine rich repeat protein 5
9815	0.0816	0.00159524	0.0548	3.1567754	0.17305613	575.83	GIT2	GIT ArfGAP 2
10261	0.0816	0.00159132	0.0849	3.1574924	0.26811667	785.59	IGSF6	immunoglobulin superfamily member 6
121512	0.0823	0.00161825	0.1177	3.1525972	0.37094242	44.47	FGD4	FYVE, RhoGEF and PH domain containing 4
9209	0.0825	0.00176606	0.0697	3.1269899	0.21808036	95.09	LRRFIP2	LRR binding FLII interacting protein 2
2932	0.0825	0.00167804	0.0732	3.1419892	0.22987248	173.34	GSK3B	glycogen synthase kinase 3 beta
9277	0.0825	0.00177605	0.069	-3.1253319	-0.21568749	280.86	WDR46	WD repeat domain 46
55023	0.0825	0.00178702	0.1486	3.1235203	0.46430711	65.92	PHIP	pleckstrin homology domain interacting protein
313	0.0825	0.00171573	0.067	3.13548	0.21022946	1251.27	AOAH	acyloxyacyl hydrolase
79689	0.0825	0.00169415	0.1175	3.1391905	0.36879814	544.88	STEAP4	STEAP4 metalloreductase
10210	0.0825	0.00174202	0.0961	3.1310172	0.3007396	65.51	TOPORS	TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase
2592	0.0825	0.00172023	0.0635	-3.1347111	-0.19897105	234.74	GALT	galactose-1-phosphate uridylyltransferase
5728	0.0825	0.00171938	0.0995	3.1348568	0.31203513	495.14	PTEN	phosphatase and tensin homolog
220002	0.0825	0.00174046	0.0654	-3.131281	-0.20484778	311.83	CYB561A3	cytochrome b561 family member A3
4033	0.0825	0.00163975	0.0922	3.1487418	0.29038369	287.24	IRAG2	inositol 1,4,5-triphosphate receptor associated 2
10154	0.0825	0.00169911	0.1041	3.138335	0.32668413	559.05	PLXNC1	plexin C1
643802	0.0825	0.00164942	0.1331	3.1470221	0.4189018	78.6	MPHOSPH10P1	MPHOSPH10 pseudogene 1
197259	0.0825	0.00177056	0.0631	3.1262411	0.19727445	351.52	MLKL	mixed lineage kinase domain like pseudokinase
50628	0.0825	0.00177227	0.0737	-3.1259584	-0.23051561	78.95	GEMIN4	gem nuclear organelle associated protein 4
284439	0.0825	0.00177677	0.0775	-3.1252115	-0.24225593	97.72	SLC25A42	solute carrier family 25 member 42
100874530	0.0825	0.00177957	0.1256	3.1247491	0.39233805	72.67	APOBEC3B-AS1	APOBEC3B antisense RNA 1
10875	0.0826	0.00179882	0.0989	3.1215817	0.30876772	845.37	FGL2	fibrinogen like 2
54625	0.084	0.00185129	0.1054	3.1131069	0.32820407	855.88	PARP14	poly(ADP-ribose) polymerase family member 14
110006322	0.084	0.00184956	0.0652	-3.1133828	-0.20300974	190.87	PKD1P5-LOC105376752	PKD1P5-LOC105376752 readthrough
3837	0.084	0.00185768	0.0621	3.1120906	0.1933435	795.17	KPNB1	karyopherin subunit beta 1
4001	0.0842	0.00187277	0.094	3.1097004	0.29220165	162.72	LMNB1	lamin B1
10964	0.0845	0.00191937	0.2825	3.1024323	0.87632843	102.25	IFI44L	interferon induced protein 44 like
22907	0.0845	0.00190247	0.0566	-3.1050497	-0.1756762	298.94	DHX30	DExH-box helicase 30
5926	0.0845	0.00191534	0.1402	3.1030547	0.43516999	49.05	ARID4A	AT-rich interaction domain 4A
5663	0.0845	0.00189013	0.0622	3.1069747	0.19321505	446.4	PSEN1	presenilin 1
4940	0.0847	0.00193291	0.2233	3.100352	0.69237248	339.45	OAS3	2'-5'-oligoadenylate synthetase 3
617	0.0848	0.00194568	0.0673	-3.0984009	-0.20862451	103.33	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone
57688	0.0848	0.00196764	0.1163	3.0950738	0.36004009	49.93	ZSWIM6	zinc finger SWIM-type containing 6
1462	0.0848	0.0019849	0.1009	3.0924822	0.31204831	944.26	VCAN	versican
9990	0.0848	0.00197699	0.0871	3.0936676	0.26932086	542.69	SLC12A6	solute carrier family 12 member 6
9989	0.0848	0.00198586	0.0989	3.0923394	0.30592904	280.83	PPP4R1	protein phosphatase 4 regulatory subunit 1
9806	0.0852	0.00201964	0.0684	-3.0873284	-0.21127409	1720.23	SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2
283149	0.0852	0.00201281	0.0794	-3.0883361	-0.24519029	480.48	BCL9L	BCL9 like
146059	0.0852	0.00202437	0.0584	-3.0866329	-0.1801859	88.73	CDAN1	codanin 1
2209	0.0853	0.00203575	0.1337	3.084966	0.41233875	167.82	FCGR1A	Fc gamma receptor Ia
8629	0.0853	0.0020455	0.0478	-3.0835458	-0.1475178	126.34	JRK	Jrk helix-turn-helix protein
2633	0.0857	0.00227697	0.1259	3.0515055	0.3843371	234.47	GBP1	guanylate binding protein 1
79084	0.0857	0.00213654	0.0512	-3.0705654	-0.15715222	120.65	WDR77	WD repeat domain 77
9554	0.0857	0.00227646	0.0746	3.0515723	0.22774077	142.92	SEC22B	SEC22 homolog B, vesicle trafficking protein
2752	0.0857	0.00230891	0.0797	3.047321	0.24274513	2156.44	GLUL	glutamate-ammonia ligase
22796	0.0857	0.00217649	0.0639	-3.0650287	-0.19600756	82.43	COG2	component of oligomeric golgi complex 2
81553	0.0857	0.00230073	0.0742	3.0483871	0.22613669	313.43	CYRIA	CYFIP related Rac1 interactor A
10254	0.0857	0.00216921	0.0883	3.0660307	0.27059345	56.04	STAM2	signal transducing adaptor molecule 2
2181	0.0857	0.0021079	0.1071	3.0745924	0.32927668	44.87	ACSL3	acyl-CoA synthetase long chain family member 3
84289	0.0857	0.00212958	0.056	-3.0715394	-0.17185523	133.64	ING5	inhibitor of growth family member 5
3615	0.0857	0.00221411	0.0571	-3.0599004	-0.17457857	332.86	IMPDH2	inosine monophosphate dehydrogenase 2
9136	0.0857	0.00228066	0.0908	-3.0510186	-0.27701691	85.85	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein
3556	0.0857	0.00235719	0.1523	3.0410951	0.46314335	68.64	IL1RAP	interleukin 1 receptor accessory protein
7096	0.0857	0.00229284	0.0919	3.0494202	0.28009965	357.73	TLR1	toll like receptor 1
7407	0.0857	0.00233288	0.08	-3.044216	-0.24339798	282.2	VARS1	valyl-tRNA synthetase 1
51251	0.0857	0.00218773	0.1202	3.0634881	0.36836279	64.05	NT5C3A	5'-nucleotidase, cytosolic IIIA
219285	0.0857	0.00232599	0.1165	3.0451047	0.35462635	234.2	SAMD9L	sterile alpha motif domain containing 9 like
3590	0.0857	0.00218831	0.0796	-3.0634085	-0.24392148	250.58	IL11RA	interleukin 11 receptor subunit alpha
6001	0.0857	0.00210291	0.1103	3.0753005	0.33916474	238.61	RGS10	regulator of G protein signaling 10
11213	0.0857	0.00223744	0.1174	3.0567591	0.35876976	171.1	IRAK3	interleukin 1 receptor associated kinase 3
3034	0.0857	0.0021176	0.1016	3.0732236	0.31218626	340.6	HAL	histidine ammonia-lyase
9026	0.0857	0.00218241	0.0834	-3.0642161	-0.25570292	241.43	HIP1R	huntingtin interacting protein 1 related
84936	0.0857	0.00218581	0.0575	-3.0637511	-0.17628643	142.12	ZFYVE19	zinc finger FYVE-type containing 19
9236	0.0857	0.00218244	0.125	3.0642126	0.38307272	131.7	CCPG1	cell cycle progression 1
3480	0.0857	0.00230266	0.0988	3.0481361	0.30129603	217.86	IGF1R	insulin like growth factor 1 receptor
4210	0.0857	0.00232559	0.0847	3.0451571	0.25778907	807.1	MEFV	MEFV innate immunity regulator, pyrin
3835	0.0857	0.00235075	0.0705	-3.0419198	-0.2144609	225.52	KIF22	kinesin family member 22
1760	0.0857	0.00234907	0.1033	-3.0421348	-0.31425803	131.4	DMPK	DM1 protein kinase
79913	0.0857	0.00232566	0.0744	-3.0451472	-0.22653667	55.69	ACTR5	actin related protein 5
9582	0.0857	0.00231416	0.124	3.0466384	0.37766301	111.25	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B
407008	0.0857	0.00230448	0.0945	3.0478982	0.28807238	162.42	MIR223	microRNA 223
91860	0.0859	0.00237323	0.0625	3.039053	0.19007576	115	CALML4	calmodulin like 4
253943	0.0865	0.00241918	0.1104	3.0332713	0.33487474	87.44	YTHDF3	YTH N6-methyladenosine RNA binding protein 3
5214	0.0865	0.00240904	0.0668	-3.034539	-0.20267822	166.37	PFKP	phosphofructokinase, platelet
89970	0.0865	0.0024156	0.0924	3.0337183	0.28023895	51.13	RSPRY1	ring finger and SPRY domain containing 1
4170	0.0874	0.00254859	0.0799	3.0175121	0.24122366	3124.36	MCL1	MCL1 apoptosis regulator, BCL2 family member
26092	0.0874	0.00262326	0.0836	3.0087482	0.25155764	166.39	TOR1AIP1	torsin 1A interacting protein 1
9208	0.0874	0.00252083	0.0705	3.0208293	0.21287339	433.21	LRRFIP1	LRR binding FLII interacting protein 1
23180	0.0874	0.00251486	0.0517	-3.0215477	-0.15613561	168.38	RFTN1	raftlin, lipid raft linker 1
85027	0.0874	0.00262815	0.0972	3.0081826	0.29249865	77.6	SMIM3	small integral membrane protein 3
2162	0.0874	0.00262796	0.1143	3.0082044	0.34368834	423.42	F13A1	coagulation factor XIII A chain
640	0.0874	0.00259696	0.1238	-3.0118085	-0.37272916	161.27	BLK	BLK proto-oncogene, Src family tyrosine kinase
23639	0.0874	0.00257119	0.1537	3.014835	0.46325988	47.94	DNAAF11	dynein axonemal assembly factor 11
